asset_description,asset_abbreviation,dbo_entity_type,can_be_connected,ifc_class,ifc_type,ifc_version,IFC2x3,IFC4.3
heat emitter - trace heating,EHT,,1,ifcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - trench heater and cooler,TRHC,,1,ifcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - trench heating,TRH,,1,ifcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - underfloor manifold,UFM,,1,ifcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - unit heater,UH,,1,IfcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - warm air curtain,WAC,,1,IfcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat exchanger,HX,HVAC/HX,1,IfcHeatExchanger,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcHeatExchangerType.NOTDEFINED,IfcHeatExchangerType.USERDEFINED","IfcHeatExchangerType.NOTDEFINED,IfcHeatExchangerType.USERDEFINED"
heat exchanger - cooling plate heat exchanger,CPHX,HVAC/HX,1,IfcHeatExchanger,PLATE,"2x3,4x1,4.3",IfcHeatExchangerType.PLATE,IfcHeatExchangerType.PLATE
heat exchanger - heating plate heat exchanger,HPHX,HVAC/HX,1,IfcHeatExchanger,PLATE,"2x3,4x1,4.3",IfcHeatExchangerType.PLATE,IfcHeatExchangerType.PLATE
heat exchanger - plate heat exchanger,PHX,HVAC/HX,1,IfcHeatExchanger,PLATE,"2x3,4x1,4.3",IfcHeatExchangerType.PLATE,IfcHeatExchangerType.PLATE
heat interface unit,HIU,,1,IfcDistributionSystem,HEATING,"2x3,4x1,4.3",IfcUnitaryEquipmentType.USERDEFINED,IfcUnitaryEquipmentType.USERDEFINED
heat pump - air source heat pump,ASHP,,1,IfcUnitaryEquipment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
heat pump - ground source heat pump,GSHP,,1,IfcUnitaryEquipment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
heat pump - heat pump,HP,,1,IfcUnitaryEquipment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
heat pump - water source heat pump,WSHP,,1,IfcUnitaryEquipment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
high level interface,HLI,,1,IfcController,PROGRAMMABLE,"4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.PROGRAMMABLE
horn strobe,HS,SAFETY/HS,1,IfcAlarm,SIREN,"2x3,4x1,4.3",IfcAlarmType.SIREN,IfcAlarmType.SIREN
human machine interface,HMI,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
humidifier,HUM,HVAC/HUM,1,IfcHumidifier,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcHumidifierType.NOTDEFINED,IfcHumidifierType.USERDEFINED","IfcHumidifierType.NOTDEFINED,IfcHumidifierType.USERDEFINED"
ict equipment - ethernet switch,ETS,,1,ifcCommunicationsAppliance,NETWORKBRIDGE,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.NETWORKBRIDGE
ict equipment - fibre switch,FBS,,1,ifcCommunicationsAppliance,NETWORKBRIDGE,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.NETWORKBRIDGE
ict equipment - intermediate distribution frame,IDF,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
ict equipment - multi-purpose server,SRV,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
ict equipment - network access manager,NAM,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
ict equipment - network firewall,FW,,1,IfcCommunicationsAppliance,NETWORKAPPLIANCE,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.NETWORKAPPLIANCE
ict equipment - network monitoring system,NMS,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
ict equipment - network router,RTR,,1,IfcCommunicationsAppliance,ROUTER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.ROUTER
ict equipment - pdu ip dongle,PDUIPD,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
ict equipment - power-over-ethernet network switch,POEETS,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
ict equipment - software-defined networking controller,SDNC,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
ict equipment - ups management system,UPSMS,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
ict equipment - wi-fi router,WRTR,,1,IfcCommunicationsAppliance,ROUTER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.ROUTER
ict equipment - wireless access point,WAP,,1,IfcCommunicationsAppliance,ROUTER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.ROUTER
ict equipment - wireless lan controller,WLC,,1,IfcController,PROGRAMMABLE,"4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.PROGRAMMABLE
kitchen appliance - blender/smoothie maker,KSMBL,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - bowl blender,KBBL,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - bowl cutter,KBC,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - can opener,KCO,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - crepe and waffle maker,KCWM,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - cutlery dryer,KCDY,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - dough divider/rounder,KDR,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - dough press,KDPR,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - insect trap,KICT,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - juicer,KJC,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - meat bone saw,KMBS,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - meat mincer,KMM,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - meat slicer,KMS,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - microwave oven,CKMWO,,0,IfcElectricAppliance,MICROWAVE,"2x3,4x1,4.3",IfcElectricApplianceType.MICROWAVE,IfcElectricApplianceType.MICROWAVE
kitchen appliance - mixer,KMIX,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - pacotizing machine,KPM,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - potato peeling machine,KPPM,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - scale,KFS,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - stick blender,KSBL,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - storage rack,KSR,,0,IfcFurniture,SHELF,"4x1,4.3",IfcFurnitureType.USERDEFINED,IfcFurnitureType.SHELF
kitchen appliance - toaster,KTST,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - uv knife steralizer,KUVSC,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - vacuum packing machine,KVPM,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - veg cutting machine,KVCM,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - vegetable washer,KVWM,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - vegetable washer and dryer,KVW,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
kitchen appliance - warming drawer,WDR,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
kitchen ventilation - condensate hood,KVCH,,0,IfcDamper,FUMEHOODEXHAUST,"2x3,4x1,4.3",IfcDamperType.FUMEHOODEXHAUST,IfcDamperType.FUMEHOODEXHAUST
kitchen ventilation - extraction/exhuast grease hood,KVGH,,0,IfcDamper,FUMEHOODEXHAUST,"2x3,4x1,4.3",IfcDamperType.FUMEHOODEXHAUST,IfcDamperType.FUMEHOODEXHAUST
kitchen ventilation - ventilated ceiling,KVVC,,0,IfcAirTerminalBox,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED"
lighting - control - dimmer,DIM,LIGHTING/LCM,0,IfcSwitchingDevice,DIMMERSWITCH,"4x1,4.3",IfcSwitchingDeviceType.USERDEFINED,IfcSwitchingDeviceType.DIMMERSWITCH
lighting - control - keypad,LKP,LIGHTING/LKP,1,IfcSwitchingDevice,KEYPAD,"4x1,4.3",IfcSwitchingDeviceType.USERDEFINED,IfcSwitchingDeviceType.KEYPAD
lighting - control - module,LCM,LIGHTING/LCM,1,IfcUnitaryControlElement,NOTDEFINED,"4x1,4.3,4x1,4.3",IfcControllerType.USERDEFINED,"IfcUnitaryControlElementType.NOTDEFINED,IfcUnitaryControlElementType.USERDEFINED"
lighting - control - panel,LCP,,1,IfcUnitaryControlElement,NOTDEFINED,"4x1,4.3,4x1,4.3",IfcControllerType.USERDEFINED,"IfcUnitaryControlElementType.NOTDEFINED,IfcUnitaryControlElementType.USERDEFINED"
lighting - control - switch,LSW,,1,IfcSwitchingDeviceTypeEnum,NOTDEFINED,"2x3,4x1,4.3",IfcSwitchingDeviceType.USERDEFINED,IfcSwitchingDeviceType.USERDEFINED
lighting - fixture,LT,LIGHTING/LT,0,IfcLightFixture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3",IfcLightFixtureType.NOTDEFINED,"IfcLightFixtureType.NOTDEFINED,IfcLightFixtureType.USERDEFINED"
lighting - fixture - downlight,DL,LIGHTING/LT,1,IfcLightFixture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3",IfcLightFixtureType.NOTDEFINED,"IfcLightFixtureType.NOTDEFINED,IfcLightFixtureType.USERDEFINED"
lighting - fixture - illuminated exit sign,EXIT,,1,IfcLightFixture,SECURITYLIGHTING,"4x1,4.3",IfcLightFixtureType.USERDEFINED,IfcLightFixtureType.SECURITYLIGHTING
lighting - fixture - linear,LL,LIGHTING/LT,1,IfcLightFixture,DIRECTIONSOURCE,"2x3,4x1,4.3",IfcLightFixtureType.DIRECTIONSOURCE,IfcLightFixtureType.DIRECTIONSOURCE
lighting - fixture - linear tape,TL,LIGHTING/LT,1,IfcLightFixture,DIRECTIONSOURCE,"2x3,4x1,4.3",IfcLightFixtureType.DIRECTIONSOURCE,IfcLightFixtureType.DIRECTIONSOURCE
lighting - fixture - pendant,PL,LIGHTING/LT,1,IfcLightFixture,POINTSOURCE,"2x3,4x1,4.3",IfcLightFixtureType.POINTSOURCE,IfcLightFixtureType.POINTSOURCE
lighting - fixture - spot light,SL,LIGHTING/LT,1,IfcLightFixture,POINTSOURCE,"2x3,4x1,4.3",IfcLightFixtureType.POINTSOURCE,IfcLightFixtureType.POINTSOURCE
lighting - fixture - standalone emergency light,EL,LIGHTING/LT,1,IfcLightFixture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3",IfcLightFixtureType.NOTDEFINED,"IfcLightFixtureType.NOTDEFINED,IfcLightFixtureType.USERDEFINED"
lighting - fixture - uplight,UL,LIGHTING/LT,1,IfcLightFixture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3",IfcLightFixtureType.NOTDEFINED,"IfcLightFixtureType.NOTDEFINED,IfcLightFixtureType.USERDEFINED"
lighting - fixture - wall light,WL,LIGHTING/LT,1,IfcLightFixture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3",IfcLightFixtureType.NOTDEFINED,"IfcLightFixtureType.NOTDEFINED,IfcLightFixtureType.USERDEFINED"
lighting - fixture external - bollard,LBO,LIGHTING/LT,1,IfcLightFixture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3",IfcLightFixtureType.NOTDEFINED,"IfcLightFixtureType.NOTDEFINED,IfcLightFixtureType.USERDEFINED"
lighting - fixture external - lampost,LPO,LIGHTING/LT,1,IfcLightFixture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3",IfcLightFixtureType.NOTDEFINED,"IfcLightFixtureType.NOTDEFINED,IfcLightFixtureType.USERDEFINED"
lighting - gateway,LTGW,LIGHTING/LTGW,1,IfcCommunicationsAppliance,GATEWAY,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.GATEWAY
lighting - group,LGRP,LIGHTING/LGRP,1,IfcGroup,NOTDEFINED,,,
lighting - track - electric track for lights,TR,LIGHTING/LT,0,IfcCableSegment,NOTDEFINED,4.3,IfcCableSegmentType.FIBERTUBE,IfcCableSegmentType.FIBERTUBE
lightning protection - cast-in-socket,CIS,,0,IfcFastener,NOTDEFINED,"2x3,4x1,4.3",IfcFastenerType.NOTDEFINED,IfcFastenerType.NOTDEFINED
lightning protection - concrete inspection pit,CIP,,0,IfcDistributionElement,NOTDEFINED,,,
lightning protection - earthing bar,EBA,,0,IfcDistributionElement,NOTDEFINED,"2x3,4x1,4.3",IfcCableSegmentType.USERDEFINED,IfcCableSegmentType.USERDEFINED
lightning protection - earthing clamp,ECL,,0,IfcFastener,NOTDEFINED,"2x3,4x1,4.3",IfcFastenerType.NOTDEFINED,IfcFastenerType.NOTDEFINED
lightning protection - earthing rod,ERO,,0,IfcDistributionElement,NOTDEFINED,"2x3,4x1,4.3",IfcCableSegmentType.USERDEFINED,IfcCableSegmentType.USERDEFINED
lightning protection - earthing tape,ETA,,0,IfcDistributionElement,NOTDEFINED,"2x3,4x1,4.3",IfcCableSegmentType.USERDEFINED,IfcCableSegmentType.USERDEFINED
location services - beacon,LBCN,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
meter,MTR,METERS/MTR,1,IfcFlowMeter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFlowMeterType.USERDEFINED,IfcFlowMeterType.NOTDEFINED","IfcFlowMeterType.USERDEFINED,IfcFlowMeterType.NOTDEFINED"
meter - electric branch meter,EBM,METERS/MTR,1,IfcFlowMeter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFlowMeterType.USERDEFINED,IfcFlowMeterType.NOTDEFINED","IfcFlowMeterType.USERDEFINED,IfcFlowMeterType.NOTDEFINED"
meter - electric meter,EM,METERS/EM,1,IfcFlowMeter,ENERGYMETER,"2x3,4x1,4.3",IfcFlowMeterType.ENERGYMETER,IfcFlowMeterType.ENERGYMETER
meter - flow meter,FM,METERS/FM,1,IfcFlowMeter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFlowMeterType.USERDEFINED,IfcFlowMeterType.NOTDEFINED","IfcFlowMeterType.USERDEFINED,IfcFlowMeterType.NOTDEFINED"
meter - gas meter,GM,METERS/GM,1,IfcFlowMeter,GASMETER,"2x3,4x1,4.3",IfcFlowMeterType.GASMETER,IfcFlowMeterType.GASMETER
meter - heat meter,HM,METERS/HM,1,IfcFlowMeter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFlowMeterType.USERDEFINED,IfcFlowMeterType.NOTDEFINED","IfcFlowMeterType.USERDEFINED,IfcFlowMeterType.NOTDEFINED"
meter - water meter,WM,METERS/WM,1,IfcFlowMeter,WATERMETER,"2x3,4x1,4.3",IfcFlowMeterType.WATERMETER,IfcFlowMeterType.WATERMETER
motor controller - vsd (inverter drive),VSD,,1,IfcMotorConnection,NOTDEFINED,"2x3,4x1,4.3",IfcMotorConnectionType.USERDEFINED,IfcMotorConnectionType.USERDEFINED
natural air ventilator,AVR,,1,ifcStackTerminal,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcStackTerminalType.NOTDEFINED,IfcStackTerminalType.USERDEFINED","IfcStackTerminalType.NOTDEFINED,IfcStackTerminalType.USERDEFINED"
oil interceptor,OI,,0,IfcInterceptor,OIL,"4x1,4.3",IfcWasteTerminalType.OILINTERCEPTOR,IfcInterceptorType.OIL
outlet,OUT,,0,IfcOutlet,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcOutletType.NOTDEFINED,IfcOutletType.USERDEFINED","IfcOutletType.NOTDEFINED,IfcOutletType.USERDEFINED"
outlet - ceiling duplex,CGDXO,,0,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
outlet - connection unit switched fused,CUSF,,0,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
outlet - connection unit unswitched fused,CUUF,,0,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
outlet - controlled duplex,CNDO,,0,IfcOutlet,DATAOUTLET,"4x1,4.3",IfcOutletType.COMMUNICATIONSOUTLET,IfcOutletType.DATAOUTLET
outlet - data wall outlet,DATA,,0,IfcOutlet,DATAOUTLET,"4x1,4.3",IfcOutletType.COMMUNICATIONSOUTLET,IfcOutletType.DATAOUTLET
outlet - double 20A duplex receptacle,DDR,,0,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
outlet - double switched socket outlet,DSSO,,0,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
outlet - double unswitched socket outlet,DSO,,0,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
outlet - duplex outlets,DXO,,0,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
outlet - floor box,FLRB,,0,IfcOutlet,NOTDEFINED,"2x3,4x1,4.3",IfcOutletType.USERDEFINED,IfcOutletType.USERDEFINED
outlet - floor duplex outlet,FLRDX,,0,IfcOutlet,DATAOUTLET,"4x1,4.3",IfcOutletType.COMMUNICATIONSOUTLET,IfcOutletType.DATAOUTLET
outlet - floor quad outlet,FLRQD,,0,IfcOutlet,DATAOUTLET,"4x1,4.3",IfcOutletType.COMMUNICATIONSOUTLET,IfcOutletType.DATAOUTLET
outlet - linear electric receptacle,LER,,0,IfcOutlet,NOTDEFINED,"2x3,4x1,4.3",IfcOutletType.USERDEFINED,IfcOutletType.USERDEFINED
outlet - single switched socket outlet,SSSO,,0,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
outlet - single unswitched socket outlet,SSO,,0,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
panel - alarm panel,AP,,1,IfcUnitaryControlElement,ALARMPANEL,"4x1,4.3",IfcElectricDistributionPoint.ALARMPANEL,IfcUnitaryControlElementType.ALARMPANEL
panel - chemical treatment control panel,CTCP,,1,IfcUnitaryControlElement,NOTDEFINED,"4x1,4.3,4x1,4.3",IfcControllerType.USERDEFINED,"IfcUnitaryControlElementType.NOTDEFINED,IfcUnitaryControlElementType.USERDEFINED"
panel - control panel,CTRP,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
panel - fire alarm control panel,FACP,SAFETY/FACP,1,IfcUnitaryControlElement,NOTDEFINED,"4x1,4.3,4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,"IfcUnitaryControlElementType.NOTDEFINED,IfcUnitaryControlElementType.USERDEFINED"
panel - gas booster control panel,GBCP,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
panel - gas detection panel,GASDET,,1,IfcUnitaryControlElement,GASDETECTIONPANEL,"4x1,4.3",IfcElectricDistributionPoint.GASDETECTORPANEL,IfcUnitaryControlElementType.GASDETECTIONPANEL
panel - generator control panel,GENCP,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
panel - greywater control panel,GWCP,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
panel - hvac control panel,HVACCP,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
panel - leak detection panel,LDP,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
panel - motor control center,MCC,,1,IfcUnitaryControlElement,NOTDEFINED,"4x1,4.3,4x1,4.3",IfcControllerType.USERDEFINED,"IfcUnitaryControlElementType.NOTDEFINED,IfcUnitaryControlElementType.USERDEFINED"
panel - remote i/o control panel,RIO,,1,IfcUnitaryControlElement,NOTDEFINED,"4x1,4.3,4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,"IfcUnitaryControlElementType.NOTDEFINED,IfcUnitaryControlElementType.USERDEFINED"
panel - rodent repellent panel,RDT,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
panel - variable air volume control station / panel,VAVCTR,,1,IfcUnitaryControlElement,NOTDEFINED,"4x1,4.3,4x1,4.3",IfcControllerType.USERDEFINED,"IfcUnitaryControlElementType.NOTDEFINED,IfcUnitaryControlElementType.USERDEFINED"
pressurisation unit,PU,,1,IfcUnitaryEquipment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
